Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Annelise";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Annette";19;6;15;10;7;.;4;6;6;5;.;.;.;.;.;.;.;.;.;.;.;.
"Anni";.;.;.;.;5;.;.;7;.;4;.;4;.;.;5;5;4;.;8;6;6;6
"Annie";9;15;17;13;11;8;14;9;13;11;13;14;14;12;16;11;10;13;18;15;15;20
"Annika";30;28;28;27;26;29;34;36;36;26;32;40;25;19;18;27;19;10;15;21;14;14
"Anniken";64;63;69;65;68;46;42;37;46;41;28;27;15;24;13;15;11;16;23;9;17;11
"Annlaug";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anny";6;.;.;.;7;5;.;4;10;5;.;7;10;7;.;8;5;10;6;7;.;.
"Aria";.;.;.;.;.;.;.;.;.;.;.;.;.;6;18;21;43;67;53;76;65;65
"Ariana";4;12;6;6;8;10;14;20;15;27;26;21;21;19;21;15;25;35;23;26;32;14
"Ariel";5;17;12;11;5;7;11;15;20;21;37;24;24;20;29;29;28;27;40;28;26;28
"Arna";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Arnhild";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Asbj�rg";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Asha";6;4;4;4;.;.;.;.;4;5;.;.;.;.;.;.;.;.;.;.;.;.
"Aslaug";4;8;6;4;.;4;.;.;5;.;4;.;.;.;.;.;.;.;.;.;.;.
"Asma";.;4;..;8;5;5;.;7;5;7;.;5;5;7;5;7;.;6;10;.;.;.
"Asta";4;.;.;4;4;4;.;.;5;4;6;.;10;5;5;.;6;5;5;10;11;8
"Astri";14;16;11;9;8;7;12;14;11;12;11;9;15;16;8;7;10;6;20;9;13;19
"Astrid";112;85;80;104;63;83;83;91;104;89;100;102;103;103;126;136;119;125;207;156;157;191
"Aud";6;.;7;7;.;.;.;5;.;6;.;.;.;.;.;.;.;5;.;.;6;5
"Audhild";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
