Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Balder";9;7;5;11;5;12;8;8;23;20;28;29;18;14;19;11;18;9;12;19;18;17
"Bartlomiej";4;4;6;4;.;.;7;.;.;.;5;.;.;.;.;4;.;.;.;.;.;.
"Bartosz";8;6;.;8;8;7;6;4;18;9;7;6;8;9;5;.;4;.;.;.;.;.
"Bastian";10;15;14;19;18;20;20;27;27;23;18;29;30;43;40;28;30;44;45;38;42;25
"Ben";5;8;7;8;10;4;8;.;6;6;..;4;8;..;4;6;9;8;8;9;6;9
"Bendik";105;97;89;80;60;48;65;50;44;54;44;30;22;32;25;27;15;19;32;42;39;22
"Bengt";.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Benjamin";231;302;331;294;303;280;265;318;321;284;334;328;323;292;256;245;264;250;261;217;236;242
"Benny";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bent";4;5;.;4;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bernard";.;5;.;.;.;.;.;.;5;4;..;5;.;5;.;10;7;8;8;6;7;8
"Bernhard";9;9;6;11;8;7;8;5;4;11;9;9;10;10;16;8;8;10;10;6;11;9
"Bernt";11;10;.;9;4;4;5;.;.;.;.;.;.;.;4;.;.;.;.;.;.;.
"Bertil";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bilal";25;19;19;14;10;13;10;12;10;18;17;11;13;13;11;13;7;16;12;13;11;9
"Birger";8;14;7;7;5;6;5;6;7;7;4;6;4;4;8;4;6;.;7;..;6;6
"Birk";37;40;49;55;47;76;58;56;81;73;81;84;81;85;84;72;77;77;90;103;98;68
"Bjarne";11;9;5;9;9;13;..;.;9;5;4;9;.;.;..;.;5;6;6;8;7;4
"Bjarte";8;8;6;7;8;8;.;.;.;.;.;.;7;.;.;.;.;.;.;.;.;.
"Bj�rge";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bj�rn";122;110;102;88;80;63;80;54;58;67;62;58;69;47;54;66;56;38;61;53;60;69
"Bj�rn-Erik";7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Bj�rnar";63;52;53;53;42;27;36;36;31;31;30;27;18;24;16;14;8;15;5;11;10;7
